id,title,content,publication_date,source_url,category
https://www.bbc.com/news/articles/cjr3255gpjgo,"Volunteers dying as Russia’s war dead tops 70,000",The governments of India and Nepal have called on Moscow to stop sending their citizens to Ukraine and repatriate the bodies of the dead.,2024-09-19 23:12:45,https://www.bbc.com/news/articles/cjr3255gpjgo,Others
https://www.bbc.com/news/articles/c7488w85n00o,Why hundreds of Samsung workers are protesting in India,About 1500 workers in Tamil Nadu state have been striking work for the past 11 days.,2024-09-19 13:51:52,https://www.bbc.com/news/articles/c7488w85n00o,Others
https://www.bbc.com/news/articles/cr54qr64n1qo,India's oldest trams may soon be brought to a halt,Authorities in the eastern city of Kolkata announced plans to discontinue its iconic trams first set up in 1873.,2024-10-01 12:27:53,https://www.bbc.com/news/articles/cr54qr64n1qo,Others
https://www.bbc.com/news/videos/ce3106yz19do,Kolkata night protest: 'Today I witnessed history',A young woman was among thousands who took part in a march in India's West Bengal. This is what she saw.,2024-08-15 10:22:01,https://www.bbc.com/news/videos/ce3106yz19do,Others
https://www.bbc.com/news/videos/czx67lknn54o,Watch: Thousands of women protest about rape and murder of doctor in India,Women led a march in West Bengal state after a female doctor's brutal rape and murder last week.,2024-08-15 08:56:44,https://www.bbc.com/news/videos/czx67lknn54o,Others
https://www.bbc.com/news/videos/c1vdw9546wwo,Watch: Building collapses into river in Himachal Pradesh,"No-one was injured in the incident, which took place due to heavy rainfall.",2024-08-01 07:44:51,https://www.bbc.com/news/videos/c1vdw9546wwo,Others
https://www.bbc.com/news/videos/cz7ejpld988o,"Watch: Blue screens, queues and airport delays worldwide","Many flights have been grounded, with huge queues and delays at airports all over the world.",2024-07-19 11:51:09,https://www.bbc.com/news/videos/cz7ejpld988o,Others
https://www.bbc.com/news/videos/cw4ypql875ko,WATCH: Families mourn victims of deadly India crush,"At least 121 people, mostly women, were killed in the crush at a religious event in northern India.",2024-07-03 09:42:54,https://www.bbc.com/news/videos/cw4ypql875ko,Others
https://www.bbc.com/news/videos/c134zdz2nnro,Watch: Delhi airport roof collapses due to heavy rain,The incident has left one person dead and injured four others.,2024-06-28 07:43:43,https://www.bbc.com/news/videos/c134zdz2nnro,Others
https://www.bbc.com/news/articles/ce442577v35o,What worked for India's Modi - and what didn’t?,Indian Prime Minister Narendra Modi and his party have won the most seats in this year's election.,2024-06-04 15:32:32,https://www.bbc.com/news/articles/ce442577v35o,Others
